Object,Close_Approach_Date,CA_Distance_LD,CA_Distance_Minimum_(LD_|_au),V_relative(km/s),V_infinity_(km/s),H_(mag),Estimated_Diameter,
(2021 DE),2021-Feb-27 23:34 ± < 00:01,4.2,4.17 | 0.01072,26.07,26.06,24.2,38 m -   85 m,bK21D00E
(2021 DM),2021-Feb-28 02:39 ± < 00:01,12.72,12.62 | 0.03243,10.23,10.22,26.1,16 m -   36 m,bK21D00M
(2011 DW),2021-Mar-01 17:06 ± < 00:01,14.03,14.03 | 0.03606,13.61,13.6,22.9,71 m -  160 m,bK11D00W
(2011 EH17),2021-Mar-02 00:01 ±    16:12,9.53,2.87 | 0.00738,16.83,16.82,24.6,32 m -   71 m,bK11E17H
(1999 RM45),2021-Mar-02 19:52 ± < 00:01,7.62,7.62 | 0.01959,20.04,20.03,19.7,310 m -  680 m,bJ99R45M
(2016 DV1),2021-Mar-03 01:09 ± < 00:01,2.07,2.07 | 0.00532,18.27,18.25,24.8,30 m -   66 m,bK16D01V
(2020 SP),2021-Mar-03 04:34 ± < 00:01,18.31,18.30 | 0.04703,3.9,3.88,27.1,10 m -   22 m,bK20S00P
(2021 DE1),2021-Mar-03 12:57 ±    00:02,4.38,4.36 | 0.01121,2.95,2.87,27.6,7.9 m -   18 m,bK21D01E
(2021 DW1),2021-Mar-04 08:58 ±    00:07,1.48,1.47 | 0.00378,5.41,5.28,25.2,24 m -   55 m,bK21D01W
(2021 CN3),2021-Mar-05 05:29 ±    00:01,11.13,11.08 | 0.02847,3.79,3.76,26.3,15 m -   33 m,bK21C03N
(2021 CF8),2021-Mar-05 08:58 ±    00:02,11.51,11.39 | 0.02926,11.82,11.81,24.1,40 m -   90 m,bK21C08F
(2021 DL),2021-Mar-08 05:02 ±    00:06,11.77,11.70 | 0.03007,5.83,5.81,25.1,26 m -   58 m,bK21D00L
535844 (2015 BY310),2021-Mar-10 09:48 ± < 00:01,14.12,14.12 | 0.03629,7.32,7.31,21.7,120 m -  270 m,a0535844
(2021 CF6),2021-Mar-10 11:42 ±    00:08,4.19,4.16 | 0.01069,8.35,8.32,23.8,46 m -  100 m,bK21C06F
(2020 FM),2021-Mar-10 22:31 ±    03:53,18.11,13.61 | 0.03496,13.31,13.31,24,42 m -   94 m,bK20F00M
(2021 CX8),2021-Mar-15 13:12 ±    00:28,18.12,17.82 | 0.04580,6.64,6.63,24.2,39 m -   87 m,bK21C08X
(2021 DT),2021-Mar-16 15:36 ±    05:11,18.2,17.91 | 0.04601,7.31,7.31,25.1,25 m -   57 m,bK21D00T
231937 (2001 FO32),2021-Mar-21 16:03 ± < 00:01,5.25,5.24 | 0.01348,34.41,34.41,17.7,770 m -  1.7 km,a0231937
(2021 CX5),2021-Mar-27 04:03 ±    00:43,7.66,7.62 | 0.01959,5.63,5.61,24.3,36 m -   81 m,bK21C05X
(2020 GE),2021-Mar-27 17:19 ±    01:07,12.64,12.62 | 0.03242,1.55,1.49,28.1,6.2 m -   14 m,bK20G00E
(2019 GM1),2021-Mar-31 16:39 ±    00:01,15.02,15.02 | 0.03859,3.88,3.86,27.1,10 m -   23 m,bK19G01M
(2015 MB54),2021-Apr-06 11:04 ± < 00:01,13.53,13.53 | 0.03476,3.71,3.69,24,43 m -   96 m,bK15M54B
(2020 GE1),2021-Apr-07 03:18 ±    00:10,12.13,12.10 | 0.03108,4.18,4.16,27.1,10 m -   23 m,bK20G01E
(2014 FO38),2021-Apr-07 10:46 ±    00:29,16.72,16.70 | 0.04291,8.34,8.34,26.3,15 m -   33 m,bK14F38O
(2020 UY1),2021-Apr-15 07:50 ±    04:37,15.96,14.03 | 0.03605,8.75,8.74,26,17 m -   38 m,bK20U01Y
(2017 HG4),2021-Apr-16 17:16 ±    18:03,7.57,5.99 | 0.01538,4.12,4.09,27.7,7.7 m -   17 m,bK17H04G
(2020 HE5),2021-Apr-17 16:50 ±    00:09,8.48,8.34 | 0.02143,4.32,4.29,27.7,7.7 m -   17 m,bK20H05E
(2019 HQ),2021-Apr-20 07:48 ±    06:24,14.73,13.52 | 0.03475,8.8,8.8,26.2,15 m -   34 m,bK19H00Q
(2020 HO5),2021-Apr-22 16:49 ±    00:09,16.48,16.40 | 0.04213,3.34,3.32,28.5,5.3 m -   12 m,bK20H05O
(2019 PS1),2021-Apr-23 21:00 ± 6_02:03,14.47,14.03 | 0.03606,9.98,9.97,26.8,12 m -   26 m,bK19P01S
(2016 QE45),2021-Apr-24 01:48 ± < 00:01,13.2,13.20 | 0.03391,15.26,15.25,21.7,120 m -  270 m,bK16Q45E
