"Peak_Brightness_Date/Time_(UT)","Latitude_(deg.)","Longitude_(deg.)","Altitude_(km)","Velocity_(km/s)","vx","vy","vz","Total_Radiated_Energy_(J)","Calculated_Total_Impact_Energy_(kt)"
"2020-12-22 23:23:33","31.9N","96.2E","35.5","13.6","-2.6","5.9","-12.1","489.8e10","9.5"
"2019-06-22 21:25:48","14.9N","66.2W","25.0","14.9","-13.4","6.0","2.5","294.7e10","6"
"2019-02-18 10:00:43","15.5S","25.3E","26","20.8","-16.6","-12.6","0.6","195.8e10","4.2"
"2018-12-18 23:48:20","56.9N","172.4E","25.6","32.0","6.3","-3.0","-31.2","1.30e14","173"
"2017-12-15 13:14:37","60.2N","170.0E","20.0","31.4","27.8","-4.7","-13.9","311.4e10","6.4"
"2016-02-06 13:55:09","30.4S","25.5W","31.0","15.6","2.7","14.5","5.0","685.3e10","13"
"2015-09-07 01:41:19","14.5N","98.9E","29.3","21.0","16.8","-12.0","-3.8","179.8e10","3.9"
"2014-08-23 06:29:41","61.7S","132.6E","22.2","16.2","-2.3","5.7","16.5","381.9e10","7.6"
"2013-10-12 16:06:45","19.1S","25.0W","22.2","12.8","-8.0","8.4","-5.5","161.0e10","3.5"
"2013-04-30 08:40:38","35.5N","30.7W","21.2","12.1","1","9","-8","511e10","10"
"2013-02-15 03:20:33","54.8N","61.1E","23.3","18.6","+12.8","-13.3","-2.4","3.75e14","440"
"2013-01-25 07:40:18","60.3N","64.6W","","","","","","340e10","6.9"
"2011-05-25 05:40:02","4.1N","14.0E","59.0","11.6","-3.4","-10.8","2.4","228.0e10","4.8"
"2010-12-25 23:24:00","38.0N","158.0E","26.0","18.1","18","-2","-4","2.00e13","33"
"2010-09-03 12:04:58","61.0S","146.7E","33.3","12.3","9.8","-3.5","6.5","175.0e10","3.8"
"2010-07-06 23:54:43","34.1S","174.5W","26.0","15.7","12.1","10.0","0.2","756.0e10","14"
"2009-11-21 20:53:00","22.0S","29.2E","38.0","32.1","3","-17","27","1.00e13","18"
"2009-10-08 02:57:00","4.2S","120.6E","19.1","19.2","14","-16","-6","2.00e13","33"
"2009-02-07 19:51:32","56.6N","69.8E","40.0","15.4","-2.4","-1.9","-15.1","160.0e10","3.5"
"2006-12-09 06:31:12","26.2N","26.0E","26.5","15.9","4.9","-15.0","1.6","741.0e10","14"
"2006-04-04 11:30:08","26.6N","26.6W","25.0","","","","","240.0e10","5"
"2004-10-07 13:14:43","27.3S","71.5E","35.0","19.2","-15.3","1.0","11.6","1.04e13","18"
"2004-09-03 12:07:22","67.7S","18.2E","31.5","","","","","726.0e10","13"
"2004-08-22 10:01:33","51.9S","22.7E","37.0","","","","","144.0e10","3.2"
"2004-06-05 20:34:10","1.3N","174.4W","43.0","19.5","9.4","17.0","-1.5","181.0e10","3.9"
"2003-09-27 12:59:02","21.0N","86.6E","26.0","18.2","-1.0","-5.4","-17.3","215.0e10","4.6"
"2002-08-11 20:42:53","18.2S","159.4E","","","","","","151.0e10","3.3"
"2002-06-02 04:28:20","34.0N","21.0E","","","","","","450.0e10","8.8"
"2001-04-23 06:12:35","28.0N","133.6W","29","","","","","460.0e10","9"
"2000-08-25 01:12:25","14.5N","106.1W","","","","","","138.5e10","3.1"
"2000-02-18 09:25:59","0.9S","109.2E","","","","","","362.0e10","7.3"
"1999-01-14 08:06:05","44.0S","129.7W","32.0","","","","","506.0e10","9.8"
"1994-11-03 20:01:36","6.5N","89.0E","","","","","","235.0e10","5"
"1994-02-01 22:38:09","2.7N","164.1E","","","","","","1.82e13","30"
"1990-10-01 03:51:47","7.5N","142.8E","","","","","","250.0e10","5.2"
"1988-04-15 03:03:10","4.1S","124.3E","","","","","","758e10","14"
